Shop Name,"Artist Name (what will be displayed 
on signs and price sheets)",Product Code,Item Name,Item Type,Product Display,Quantity,Price per unit (C$ CAD),Notes,"You may include quantity 
for Alt Arts but it is not required."
Ams,Ams,AMS1,Frogshiko,Alt Art Card Single,Artist Display,,6.00,,
Ams,Ams,AMS2,Mercury,Alt Art Card Single,Artist Display,,6.00,,
Ams,Ams,AMS3,Dewi,Alt Art Card Single,Artist Display,,6.00,,
Ams,Ams,AMS4,Thunderbolt Armaments,Alt Art Card Single,Artist Display,,6.00,,
Ams,Ams,AMS5,AU Co.,Alt Art Card Single,Artist Display,,6.00,,
Ams,Ams,AMS6,PT Untaian,Alt Art Card Single,Artist Display,,6.00,,
Ams,Ams,AMS7,Méliès U,Alt Art Card Single,Artist Display,,6.00,"I only have one left and it's in my binder sheets. In general, there should be 3 copies of each card in each slot.",
Ams,Ams,AMS8,Nebula,Alt Art Card Single,Artist Display,,6.00,,
Ams,Ams,AMS9,Steelskin Scarring,Alt Art Card Set [3 copies],Artist Display,,10.00,,
Ams,Ams,AMS10,Strike Fund,Alt Art Card Set [3 copies],Artist Display,,10.00,,
Ams,Ams,AMS11,Bling,Alt Art Card Set [3 copies],Artist Display,,10.00,,
Ams,Ams,AMS12,The Tungsten Tailor,Alt Art Card Set [3 copies],Artist Display,,10.00,,
Ams,Ams,AMS13,Hantu,Alt Art Card Set [3 copies],Artist Display,,10.00,,
Ams,Ams,AMS14,Lampades,Alt Art Card Set [3 copies],Artist Display,,10.00,,
Ams,Ams,AMS15,Cookbook,Alt Art Card Set [3 copies],Artist Display,,10.00,,
Ams,Ams,AMS16,Clean Getaway,Alt Art Card Set [3 copies],Artist Display,,10.00,,
Ams,Ams,AMS17,Pinhole Threading,Alt Art Card Set [3 copies],Artist Display,,10.00,,
Ams,Ams,AMS18,Transfer of Wealth,Alt Art Card Set [3 copies],Artist Display,,10.00,,
Ams,Ams,AMS19,Docklands Pass,Alt Art Card Set [3 copies],Artist Display,,10.00,,
Ams,Ams,AMS20,Hermes,Alt Art Card Set [3 copies],Artist Display,,10.00,,
Ams,Ams,AMS21,Jeitinho,Alt Art Card Set [Other],Artist Display,,15.00,"Double-sided and sold in sets of 6, where each set has 1 copy of each of the 6 distinct flavour texts on the back",
Ams,Ams,AMS22,Pennyshaver,Alt Art Card Set [3 copies],Artist Display,,10.00,,
Ams,Ams,AMS23,Swift,Alt Art Card Set [3 copies],Artist Display,,10.00,,
Ams,Ams,AMS24,Afterimage,Alt Art Card Set [3 copies],Artist Display,,10.00,,
Ams,Ams,AMS25,Revolver,Alt Art Card Set [3 copies],Artist Display,,10.00,,
Ams,Ams,AMS26,Aircheck,Alt Art Card Set [3 copies],Artist Display,,10.00,,
Ams,Ams,AMS27,Beta Build,Alt Art Card Set [3 copies],Artist Display,,10.00,,
Ams,Ams,AMS28,Illumination,Alt Art Card Set [3 copies],Artist Display,,10.00,,
Ams,Ams,AMS29,In the Groove,Alt Art Card Set [3 copies],Artist Display,,10.00,,
Ams,Ams,AMS30,Ritual,Alt Art Card Set [3 copies],Artist Display,,10.00,,
Ams,Ams,AMS31,GAMEDRAGON™ Pro,Alt Art Card Set [3 copies],Artist Display,,10.00,,
Ams,Ams,AMS32,Azimat,Alt Art Card Set [3 copies],Artist Display,,10.00,,
Ams,Ams,AMS33,Devadatta Drone,Alt Art Card Set [3 copies],Artist Display,,10.00,,
Ams,Ams,AMS34,Gauss,Alt Art Card Set [3 copies],Artist Display,,10.00,,
Ams,Ams,AMS35,Mantle,Alt Art Card Set [3 copies],Artist Display,,10.00,,
Ams,Ams,AMS36,Sahasrara,Alt Art Card Set [3 copies],Artist Display,,10.00,,
Ams,Ams,AMS37,Environmental Testing,Alt Art Card Set [3 copies],Artist Display,,10.00,,
Ams,Ams,AMS38,Ashen Epilogue,Alt Art Card Set [3 copies],Artist Display,,10.00,,
Ams,Ams,AMS39,Bahia Bands,Alt Art Card Set [3 copies],Artist Display,,10.00,,
Ams,Ams,AMS40,Rejig,Alt Art Card Set [3 copies],Artist Display,,10.00,,
Ams,Ams,AMS41,Sure Gamble,Alt Art Card Set [3 copies],Artist Display,,10.00,,
Ams,Ams,AMS42,Nova/Ampere,Alt Art Card Single,Artist Display,,6.00,"Double sided - Nova on one side, Ampere on the other",
Ams,Ams,AMS43,Méliès City Luxury Line,Alt Art Card Set [3 copies],Artist Display,,10.00,,
Ams,Ams,AMS44,Midnight-3 Arcology,Alt Art Card Set [3 copies],Artist Display,,10.00,,
Ams,Ams,AMS45,Ontological Dependence,Alt Art Card Set [3 copies],Artist Display,,10.00,,
Ams,Ams,AMS46,Salvo Testing,Alt Art Card Set [3 copies],Artist Display,,10.00,,
Ams,Ams,AMS47,Wage Workers,Alt Art Card Set [3 copies],Artist Display,,10.00,,
Ams,Ams,AMS48,Scatter Field,Alt Art Card Set [3 copies],Artist Display,,10.00,,
Ams,Ams,AMS49,Ansel 1.0,Alt Art Card Set [3 copies],Artist Display,,10.00,,
Ams,Ams,AMS50,Bran 1.0,Alt Art Card Set [3 copies],Artist Display,,10.00,,
Ams,Ams,AMS51,Týr,Alt Art Card Set [3 copies],Artist Display,,10.00,,
Ams,Ams,AMS52,Fully Operational,Alt Art Card Set [3 copies],Artist Display,,10.00,,
Ams,Ams,AMS53,Top-Down Solutions,Alt Art Card Set [3 copies],Artist Display,,10.00,,
Ams,Ams,AMS54,Perfect Recall,Alt Art Card Set [3 copies],Artist Display,,10.00,,
Ams,Ams,AMS55,Longevity Serum,Alt Art Card Single,Artist Display,,6.00,,
Ams,Ams,AMS56,Lotus Haze,Alt Art Card Set [3 copies],Artist Display,,10.00,,
Ams,Ams,AMS57,Byte!,Alt Art Card Set [3 copies],Artist Display,,10.00,,
Ams,Ams,AMS58,Esca,Alt Art Card Set [3 copies],Artist Display,,10.00,,
Ams,Ams,AMS59,Cloud Eater,Alt Art Card Set [3 copies],Artist Display,,10.00,,
Ams,Ams,AMS60,Hafrún,Alt Art Card Set [3 copies],Artist Display,,10.00,,
Ams,Ams,AMS61,Lionsmane,Alt Art Card Set [3 copies],Artist Display,,10.00,,
Ams,Ams,AMS62,Phoneutria,Alt Art Card Set [3 copies],Artist Display,,10.00,,
Ams,Ams,AMS63,Vampyronassa,Alt Art Card Set [3 copies],Artist Display,,10.00,,
Ams,Ams,AMS64,Unleash,Alt Art Card Set [3 copies],Artist Display,,10.00,,
Ams,Ams,AMS65,Kingmaking,Alt Art Card Set [3 copies],Artist Display,,10.00,,
Ams,Ams,AMS66,Behold!,Alt Art Card Set [3 copies],Artist Display,,10.00,,
Ams,Ams,AMS67,Gaslight,Alt Art Card Set [3 copies],Artist Display,,10.00,,
Ams,Ams,AMS68,Lethe,Alt Art Card Set [3 copies],Artist Display,,10.00,,
Ams,Ams,AMS69,Mestnichestvo,Alt Art Card Set [3 copies],Artist Display,,10.00,,
Ams,Ams,AMS70,Seraph,Alt Art Card Set [3 copies],Artist Display,,10.00,,
Ams,Ams,AMS71,End of the Line,Alt Art Card Set [3 copies],Artist Display,,10.00,,
Ams,Ams,AMS72,Key Performance Indicators,Alt Art Card Set [3 copies],Artist Display,,10.00,,
Ams,Ams,AMS73,Myōshu,Alt Art Card Set [3 copies],Artist Display,,10.00,,
Ams,Ams,AMS74,Flagship,Alt Art Card Set [3 copies],Artist Display,,10.00,,
Ams,Ams,AMS75,Offworld Office,Alt Art Card Set [3 copies],Artist Display,,10.00,,
Ams,Ams,AMS76,Flyswatter,Alt Art Card Set [3 copies],Artist Display,,10.00,,
Ams,Ams,AMS77,Lamplighter,Alt Art Card Set [3 copies],Artist Display,,10.00,,
Ams,Ams,AMS78,Petty Cash (Business Cards),Alt Art Card Set [3 copies],Artist Display,,10.00,,
Ams,Ams,AMS79,Petty Cash (Coins),Alt Art Card Set [3 copies],Merch Table,,10.00,"Greyscale variant on the back, each playset has a different colour variant on the front",
Ams,Ams,AMS80,Pride Solidarity Badge,Alt Art Card Set [3 copies],Merch Table,,10.00,Each playset can be any combination of pride flags. All flags have the progress flag on the back,
Ams,Extrac,AMS81,Bravado,Alt Art Card Set [3 copies],Artist Display,,10.00,,
Ams,Extrac,AMS82,Seamless Launch,Alt Art Card Set [3 copies],Artist Display,,10.00,,
Ams,Extrac,AMS83,Azmari EdTech,Alt Art Card Set [3 copies],Artist Display,,10.00,,
Ams,Extrac,AMS84,Celebrity Gift,Alt Art Card Set [3 copies],Artist Display,,10.00,,
Brindelmold,Brindelmold,BR1,Anthill Excavation,Alt Art Card Set [3 copies],Artist Display,45,10.00,"(quantity is in cards, not playsets - e.g this is 15 playsets)",
Brindelmold,Brindelmold,BR2,Basalt Spire,Alt Art Card Set [3 copies],Artist Display,45,10.00,,
Brindelmold,Brindelmold,BR3,Begemot,Alt Art Card Set [3 copies],Artist Display,30,10.00,,
Brindelmold,Brindelmold,BR4,Echelon,Alt Art Card Set [3 copies],Artist Display,45,10.00,,
Brindelmold,Brindelmold,BR5,Fermenter,Alt Art Card Set [3 copies],Artist Display,30,10.00,,
Brindelmold,Brindelmold,BR6,Fujii Asset Retrieval,Alt Art Card Set [3 copies],Artist Display,30,10.00,,
Brindelmold,Brindelmold,BR7,Ghosttongue,Alt Art Card Set [3 copies],Artist Display,30,10.00,,
Brindelmold,Brindelmold,BR8,Humanoid Resources,Alt Art Card Set [3 copies],Artist Display,45,10.00,,
Brindelmold,Brindelmold,BR9,La Costa Grid,Alt Art Card Set [3 copies],Artist Display,30,10.00,,
Brindelmold,Brindelmold,BR10,Manegarm Skunkworks,Alt Art Card Set [3 copies],Artist Display,30,10.00,,
Brindelmold,Brindelmold,BR11,Measured Response,Alt Art Card Set [3 copies],Artist Display,45,10.00,,
Brindelmold,Brindelmold,BR12,Mindscaping,Alt Art Card Set [3 copies],Artist Display,30,10.00,,
Brindelmold,Brindelmold,BR13,Oppo Research,Alt Art Card Set [3 copies],Artist Display,30,10.00,,
Brindelmold,Brindelmold,BR14,Wage Workers,Alt Art Card Set [3 copies],Artist Display,45,10.00,,
Brindelmold,Brindelmold,BR15,Hypoxia,Alt Art Card Set [3 copies],Artist Display,30,10.00,,
Brindelmold,Brindelmold,BR16,Bran,Alt Art Card Set [3 copies],Artist Display,21,10.00,,
Brindelmold,Brindelmold,BR17,Phat,Alt Art Card Set [3 copies],Artist Display,30,10.00,,
Brindelmold,Brindelmold,BR18,Regolith Mining License,Alt Art Card Set [3 copies],Artist Display,30,10.00,,
Brindelmold,Brindelmold,BR19,Send a Message,Alt Art Card Set [3 copies],Artist Display,30,10.00,,
Brindelmold,Brindelmold,BR20,Slash and Burn Agriculture,Alt Art Card Set [3 copies],Artist Display,30,10.00,,
Brindelmold,Brindelmold,BR21,Spin Doctor,Alt Art Card Set [3 copies],Artist Display,60,10.00,,
Brindelmold,Brindelmold,BR22,Steelskin Scarring,Alt Art Card Set [3 copies],Artist Display,30,10.00,,
Brindelmold,Brindelmold,BR23,Strike Fund,Alt Art Card Set [3 copies],Artist Display,30,10.00,,
Brindelmold,Brindelmold,BR24,Sure Gamble,Alt Art Card Set [3 copies],Artist Display,45,10.00,,
Brindelmold,Brindelmold,BR25,Svyatogor Excavator,Alt Art Card Set [3 copies],Artist Display,30,10.00,,
Brindelmold,Brindelmold,BR26,The Holo Man,Alt Art Card Set [3 copies],Artist Display,45,10.00,,
Brindelmold,Brindelmold,BR27,The Price,Alt Art Card Set [3 copies],Artist Display,30,10.00,,
Brindelmold,Brindelmold,BR28,The Twinning,Alt Art Card Set [3 copies],Artist Display,15,10.00,,
Brindelmold,Brindelmold,BR29,Transfer of Wealth,Alt Art Card Set [3 copies],Artist Display,45,10.00,,
Brindelmold,Brindelmold,BR30,Tranquility Home Grid,Alt Art Card Set [3 copies],Artist Display,30,10.00,,
Brindelmold,Brindelmold,BR31,Your Digital Life,Alt Art Card Set [3 copies],Artist Display,30,10.00,,
Brindelmold,Brindelmold,BR32,Pharos,Alt Art Card Set [3 copies],Artist Display,45,10.00,,
Brindelmold,Brindelmold,BR33,Arruacerias Crew,Alt Art Card Set [3 copies],Artist Display,30,10.00,,
Brindelmold,Brindelmold,BR34,Longevity Serum,Alt Art Card Single,Artist Display,20,7.00,,
Brindelmold,Brindelmold,BR35,Precision Design,Alt Art Card Single,Artist Display,10,7.00,,
Brindelmold,Brindelmold,BR36,Esa,Alt Art Card Single,Artist Display,11,7.00,,
Brindelmold,Brindelmold,BR37,Loup,Alt Art Card Single,Artist Display,7,7.00,,
Brita Dorfman,Drew Shields,BD1,Clean Getaway,Alt Art Card Set [3 copies],Artist Display,,10.00,pre sleeved in playsets of 3,
Brita Dorfman,Silas Goewey,BD2,Stowaway,Alt Art Card Set [3 copies],Artist Display,,10.00,pre sleeved in playsets of 3,
Brita Dorfman,Mart Lett,BD3,Hansei Review,Alt Art Card Set [3 copies],Artist Display,,10.00,pre sleeved in playsets of 3,
Brita Dorfman,Amy Lane,BD4,Vic,Alt Art Card Single,Artist Display,,7.00,,
Claire Riordan,Claire Riordan,CR-AC,Retro Alarm Clock,Alt Art Card Set [3 copies],Artist Display,15,8.00,"Quantity excludes display alt, and is always quantity of playsets",
Claire Riordan,Claire Riordan,CR-B,Retro Burner,Alt Art Card Set [3 copies],Artist Display,14,8.00,"Quantity excludes display alt, and is always quantity of playsets",
Claire Riordan,Claire Riordan,CR-DC,Fleischer Devil Charm,Alt Art Card Set [3 copies],Artist Display,20,8.00,"Quantity excludes display alt, and is always quantity of playsets",
Claire Riordan,Claire Riordan,CR-J,Tattoo Jeitinho,Alt Art Card Set [3 copies],Artist Display,19,8.00,"Quantity excludes display alt, and is always quantity of playsets",
Claire Riordan,Claire Riordan,CR-LC,Lucky Charm Cereal,Alt Art Card Set [3 copies],Artist Display,19,8.00,"Quantity excludes display alt, and is always quantity of playsets",
Claire Riordan,Claire Riordan,CR-S,Swift: The Factions Tour,Alt Art Card Set [3 copies],Artist Display,5,8.00,"Quantity excludes display alt, and is always quantity of playsets",
Claire Riordan,Claire Riordan,CR-WC,Retro Wizard' Chest,Alt Art Card Set [3 copies],Artist Display,10,8.00,"Quantity excludes display alt, and is always quantity of playsets",
